Id,SalePrice
1461,121063.97931832854
1462,161939.5423828784
1463,183912.26418189862
1464,201245.21380125263
1465,195674.4628463869
1466,173840.72866465885
1467,179396.47065957353
1468,162449.84431867747
1469,190857.71022310384
1470,119476.62073234588
1471,199820.7538999168
1472,95391.04130834805
1473,97853.41742289135
1474,152198.7190883914
1475,118076.95782482099
1476,372435.4957335486
1477,243715.96973170302
1478,279141.68056120694
1479,265860.8282106928
1480,467932.601665991
1481,338501.12448131805
1482,205131.91340087584
1483,169107.64053174751
1484,161921.80052884566
1485,187103.21826644696
1486,197055.58092536186
1487,336211.7710340438
1488,231958.48283893042
1489,195602.67578491423
1490,229443.12678687667
1491,195340.63776053835
1492,89485.63672133675
1493,191804.30085172245
1494,293817.45096995414
1495,300277.63871905225
1496,236506.04755446035
1497,183294.52702412702
1498,160347.98893143857
1499,156975.46210639286
1500,150438.22569143042
1501,172358.34033726473
1502,149310.6257990134
1503,290381.43014358013
1504,241002.7345866989
1505,225935.6271112938
1506,183636.216966847
1507,236783.00819436435
1508,199095.06743677764
1509,160745.34069606793
1510,143952.56125417462
1511,145181.79733332293
1512,175690.05610868518
1513,148471.98132711535
1514,164746.53984767653
1515,181177.04255480444
1516,151621.0707929607
1517,164954.39154337856
1518,128617.36370945042
1519,213558.84998579358
1520,129784.21432876533
1521,130846.29119146596
1522,175957.11442299304
1523,113790.46187964584
1524,125924.40970129098
1525,125682.9354220991
1526,116787.51734767837
1527,102852.60296684124
1528,136007.86108661277
1529,147631.87088544277
1530,183392.66540891523
1531,99307.71729900363
1532,101978.92573527258
1533,152362.98432484933
1534,121163.55856848987
1535,154479.22644591407
1536,105950.66792978949
1537,64047.404195710675
1538,148695.89932000096
1539,192791.287728898
1540,98301.8177891265
1541,136965.31966801683
1542,140202.5994099385
1543,204945.45532415752
1544,81865.7988744415
1545,110885.96222198536
1546,130922.79173788229
1547,126812.76886801087
1548,137293.20492534028
1549,115891.79244857364
1550,131303.76070552267
1551,112238.06286685678
1552,136251.79873169502
1553,147845.71389816617
1554,112888.7527370357
1555,157810.3340089189
1556,83421.829947115
1557,111398.28773254834
1558,91853.5802467099
1559,71263.63142409483
1560,137970.3873825016
1561,137123.84853975388
1562,131473.85262364658
1563,121457.87924509383
1564,158767.2654659581
1565,146392.6806425209
1566,216288.93572748947
1567,71602.39719983826
1568,228173.30732511607
1569,136378.79578910675
1570,137596.09122727858
1571,113668.47940261743
1572,140849.5336898097
1573,243213.26872880646
1574,118542.30999801103
1575,227257.19517667554
1576,246492.61724391152
1577,183519.02429225313
1578,145624.8889651297
1579,141221.84448834579
1580,192844.93465351628
1581,154922.24590146862
1582,126844.95482083336
1583,302533.6984998959
1584,225796.60293781472
1585,139647.12464484054
1586,62530.82434103202
1587,100076.60314103095
1588,147447.87779188648
1589,96668.27001931722
1590,133955.12320993227
1591,92167.14177689074
1592,116094.21838509088
1593,125607.32533457942
1594,133702.73957010685
1595,111392.73159788482
1596,239936.57921824395
1597,180063.9407243141
1598,209496.35025603525
1599,164304.5610751982
1600,157944.0710138888
1601,67077.09289410895
1602,113740.9811111888
1603,82704.49108712364
1604,261204.13819249356
1605,246883.02638267266
1606,175385.1261935261
1607,156462.2205564177
1608,211505.47668757424
1609,185097.16830364196
1610,149021.61084034707
1611,134970.72327897337
1612,164999.3351660224
1613,162247.73395816283
1614,136456.95714547188
1615,86852.64985349776
1616,74091.71489654484
1617,95918.07316349182
1618,125139.1159246721
1619,142362.050249302
1620,159499.35503814244
1621,137941.532768125
1622,138020.88720941904
1623,284493.17165665125
1624,217368.28767851347
1625,121273.07589821889
1626,168132.49088708483
1627,191218.4417125827
1628,285104.41825024906
1629,173546.50039701475
1630,357799.57734119974
1631,215924.2053657207
1632,242294.82037125024
1633,169738.79446078197
1634,187439.69906864615
1635,174785.42966215438
1636,152894.9325131692
1637,196978.01789551295
1638,192760.87715177034
1639,185773.690108543
1640,267509.7280681748
1641,181993.23952150284
1642,233160.8381096602
1643,220489.52702094425
1644,229326.0767049159
1645,194922.75068670587
1646,162235.90405632634
1647,159994.45306424575
1648,128423.66341893887
1649,138162.26426183456
1650,117421.16987991362
1651,120715.28959956192
1652,94121.83475967636
1653,102845.395926818
1654,145885.631662857
1655,144575.5365795147
1656,145956.72478058003
1657,148816.93424829515
1658,146436.78132116795
1659,124245.45710070356
1660,153411.79261472684
1661,417565.1542736462
1662,402376.90066638106
1663,382597.1036637083
1664,417575.4843106086
1665,298644.59695791325
1666,330332.91475507553
1667,343924.4431772899
1668,333835.9012231433
1669,291464.89999148046
1670,344803.5586008603
1671,263302.2529442646
1672,436966.5173183137
1673,285251.6078194249
1674,239071.08661106636
1675,193408.92988261284
1676,194341.89127635554
1677,217348.497582386
1678,457466.5008885103
1679,394362.49886253424
1680,338903.7410271468
1681,240288.51547323854
1682,312136.12508501776
1683,183530.59741044184
1684,170485.16828233705
1685,172597.95312363582
1686,166133.2808557099
1687,178199.57274361627
1688,193067.38778812287
1689,196050.90947416404
1690,195027.0652898023
1691,183210.3355832576
1692,263692.2842154371
1693,168751.01357280146
1694,187567.35844263315
1695,168989.17790396023
1696,274732.77051718504
1697,176058.6752986622
1698,343764.42144045106
1699,321651.7584993461
1700,249095.38103953568
1701,279783.06070486974
1702,242743.93611285565
1703,245466.9794814941
1704,277967.73242250807
